JAE Pin,Arduino Mega Pin,Signal Name
1,22,HOTKEY
2,23,DRIVE<4>
3,24,SENSE<5>
4,25,DRIVE<5>
5,26,SENSE<0>
6,27,DRIVE<8>
7,28,SENSE<3>
8,29,DRIVE<6>
9,30,SENSE<2>
10,31,DRIVE<3>
11,32,SENSE<4>
12,33,DRIVE<7>
13,34,SENSE<1>
14,35,DRIVE<2>
15,36,SENSE<6>
16,37,DRIVE<10>
17,38,SENSE<7>
18,39,DRIVE<1>
19,,PWR SW
20,41,DRIVE<9>
21,,No connect NC
22,42,DRIVE<0>
23,,No connect NC
24,43,DRIVE<11>
25,,No connect KBDID0
26,44,DRIVE<14>
27,,No connect KBDID1
28,45,DRIVE<12>
29,,No connect KBDID2
30,46,DRIVE<15>
31,,GND KBDID RTN
32,40,DRIVE<13>
33,,No connect NC
34,,PWR GND
35,,No connect NC
36,47,HOTKEY_RTN
37,,Level Translated TP_DATA
38,,5 volts from TPS60150 TP_5V
39,,Level Translated TP_CLK
40,,Reset Generator TP_RESET
