Address (HEX),FUNCTION,Value (HEX),BIN,DEC,ASCII or Data,Notes
00,Header,00,00000000,0,,EDID Header
01,Header,FF,11111111,255,,EDID Header
02,Header,FF,11111111,255,,EDID Header
03,Header,FF,11111111,255,,EDID Header
04,Header,FF,11111111,255,,EDID Header
05,Header,FF,11111111,255,,EDID Header
06,Header,FF,11111111,255,,EDID Header
07,Header,00,00000000,0,,EDID Header
08,ID Manufacturer Name,0E,00001110,14,CS_,3 character ID
09,ID Manufacturer Name,7F,01111111,127,CS_,3 character ID
0A,ID Product Code,11,00010001,17,,
0B,ID Product Code,52,01010010,82,,
0C,32-bit serial no.,01,00000001,1,,
0D,32-bit serial no.,04,00000100,4,,
0E,32-bit serial no.,00,00000000,0,,
0F,32-bit serial no.,00,00000000,0,,
10,Week of manufacture,05,00000101,5,,
11,Year of manufacture,17,00010111,23,2013,
12,EDID Structure Ver.,01,00000001,1,1,EDID Ver. 1.0
13,EDID revision #,04,00000100,4,4,EDID Rev. 4
14,Video input definition,A5,10100101,165,,
15,Max H image size,35,00110101,53,53,53 cm(approx)
16,Max V image size,1E,00011110,30,30,30 cm(approx)
17,Display Gamma,78,01111000,120,2.2,Gamma 2.2
18,Feature support,02,00000010,2,,
19,Red/green low bits,80,10000000,128,10000000,
1A,Blue/white low bits,42,01000010,66,01000010,
1B,Red x/ high bits,AC,10101100,172,0.674,Red x 0.674 = 1010110010
1C,Red y,51,01010001,81,0.316,Red y 0.316 = 0101000100
1D,Green x,30,00110000,48,0.188,Green x 0.188 = 0011000000
1E,Green y,B4,10110100,180,0.703,Green y 0.703 = 1011010000
1F,Blue x,25,00100101,37,0.146,Blue x 0.146 = 0010010101
20,Blue y,10,00010000,16,0.062,Blue y 0.062 = 0001000000
21,White x,50,01010000,80,0.312,White x 0.312 = 0101000000
22,White y,53,01010011,83,0.326,White y 0.326 = 0101001110
23,Established timing 1,00,00000000,0,,
24,Established timing 2,00,00000000,0,,
25,Established timing 3,00,00000000,0,,
26,Standard timing #1,01,00000001,1,,not used
27,Standard timing #1,01,00000001,1,,not used
